lncRNA,mRNA
SBF2-AS1 ,EME2
SBF2-AS1 ,CORO1B
SBF2-AS1 ,DDR1
SBF2-AS1 ,WNT7B
SBF2-AS1 ,PLXNB2
SBF2-AS1 ,KNTC1
SBF2-AS1 ,MEPCE
SBF2-AS1 ,EEF2
SBF2-AS1 ,SP100
SBF2-AS1 ,PDLIM2
SBF2-AS1 ,EIF5
SBF2-AS1 ,SERINC3
SBF2-AS1 ,FLII
SBF2-AS1 ,SND1
SBF2-AS1 ,C16orf45
SBF2-AS1 ,ASXL1
SBF2-AS1 ,OSGIN2
SBF2-AS1 ,SULF2
SBF2-AS1 ,DET1
SBF2-AS1 ,ST3GAL1
SBF2-AS1 ,WBP2
SBF2-AS1 ,MARC1
SBF2-AS1 ,ZFYVE1
SBF2-AS1 ,LMO4
SBF2-AS1 ,ANKRD24
SBF2-AS1 ,PXDN
SBF2-AS1 ,RND3
SBF2-AS1 ,ALAD
SBF2-AS1 ,RSU1
SBF2-AS1 ,TUSC2
SBF2-AS1 ,PARP12
SBF2-AS1 ,THSD7A
SBF2-AS1 ,GLA
SBF2-AS1 ,KRT8
SBF2-AS1 ,CBR4
SBF2-AS1 ,ELAC2
SBF2-AS1 ,TNIP1
SBF2-AS1 ,TRIM14
SBF2-AS1 ,NARF
SBF2-AS1 ,SCNN1A
SBF2-AS1 ,NUP160
SBF2-AS1 ,LPCAT1
SBF2-AS1 ,NADK
SBF2-AS1 ,PRICKLE3
SBF2-AS1 ,GFPT2
SBF2-AS1 ,APIP
SBF2-AS1 ,TBC1D9B
SBF2-AS1 ,H2AFZ
SBF2-AS1 ,PHRF1
SBF2-AS1 ,HSD17B14
SBF2-AS1 ,ARHGAP11A
SBF2-AS1 ,SFXN3
SBF2-AS1 ,EIF2AK1
SBF2-AS1 ,KCNQ1OT1
SBF2-AS1 ,UBE2O
SBF2-AS1 ,G3BP1
SBF2-AS1 ,LINC00707
SBF2-AS1 ,SEC24D
SBF2-AS1 ,RHOF
SBF2-AS1 ,SEC14L4
SBF2-AS1 ,MUC3A
SBF2-AS1 ,SERPINE1
SBF2-AS1 ,EHD1
SBF2-AS1 ,UBE3A
SBF2-AS1 ,HEATR1
SBF2-AS1 ,SAE1
SBF2-AS1 ,ZNF655
SBF2-AS1 ,UGCG
SBF2-AS1 ,SLC35E2A
SBF2-AS1 ,BICC1
SBF2-AS1 ,ST3GAL5
SBF2-AS1 ,GPRC5A
SBF2-AS1 ,SPOCD1
SBF2-AS1 ,PPP1R3B
SBF2-AS1 ,AFAP1L1
SBF2-AS1 ,SF3A2
SBF2-AS1 ,MLKL
SBF2-AS1 ,AKAP2
SBF2-AS1 ,SAMHD1
SBF2-AS1 ,OAS3
SBF2-AS1 ,HERC5
SBF2-AS1 ,CCNB1
SBF2-AS1 ,MCRS1
SBF2-AS1 ,RAD54L
SBF2-AS1 ,PIK3AP1
SBF2-AS1 ,IFIT3
SBF2-AS1 ,DTL
SBF2-AS1 ,CXCL3
SBF2-AS1 ,TRANK1
SBF2-AS1 ,IRF5
SBF2-AS1 ,IFI16
SBF2-AS1 ,PLD2
SBF2-AS1 ,RAD51AP1
SBF2-AS1 ,USP14
SBF2-AS1 ,AATF
SBF2-AS1 ,YEATS4
SBF2-AS1 ,CENPA
SBF2-AS1 ,IFIT1
SBF2-AS1 ,CKB
SBF2-AS1 ,NSMCE4A
SBF2-AS1 ,PDHB
SBF2-AS1 ,CYP24A1
SBF2-AS1 ,MARVELD1
SBF2-AS1 ,PRKD2
SBF2-AS1 ,GPATCH4
SBF2-AS1 ,RAB1B
SBF2-AS1 ,STIL
SBF2-AS1 ,STOX1
SBF2-AS1 ,CDK5RAP2
SBF2-AS1 ,BACH1
SBF2-AS1 ,GRIK1-AS2
SBF2-AS1 ,DDX58
SBF2-AS1 ,LARP4
SBF2-AS1 ,GOT2
SBF2-AS1 ,MARCH9
SBF2-AS1 ,TRAF7
SBF2-AS1 ,CNNM4
SBF2-AS1 ,PALM2-AKAP2
SBF2-AS1 ,KCTD11
SBF2-AS1 ,CNP
SBF2-AS1 ,PFKP
SBF2-AS1 ,TDG
SBF2-AS1 ,CPSF7
SBF2-AS1 ,MUC1
SBF2-AS1 ,MCM6
SBF2-AS1 ,MORC4
SBF2-AS1 ,SUZ12
SBF2-AS1 ,SOCS6
SBF2-AS1 ,APMAP
SBF2-AS1 ,RIMS3
SBF2-AS1 ,ELF1
SBF2-AS1 ,GOLGA2
SBF2-AS1 ,CCDC30
SBF2-AS1 ,SLC17A5
SBF2-AS1 ,HMGA1
SBF2-AS1 ,GIGYF1
SBF2-AS1 ,TGM2
SBF2-AS1 ,BEX2
SBF2-AS1 ,IRF7
SBF2-AS1 ,HELZ2
SBF2-AS1 ,TTC3
SBF2-AS1 ,C1RL
SBF2-AS1 ,SPATA2L
SBF2-AS1 ,ETS2
SBF2-AS1 ,C11orf68
SBF2-AS1 ,EML2
SBF2-AS1 ,GRINA
SBF2-AS1 ,PDCD7
SBF2-AS1 ,ATP8B2
SBF2-AS1 ,STAT2
SBF2-AS1 ,NT5E
SBF2-AS1 ,MAP3K8
SBF2-AS1 ,TINF2
SBF2-AS1 ,POLE
SBF2-AS1 ,B2M
SBF2-AS1 ,PRIM1
SBF2-AS1 ,HDDC2
SBF2-AS1 ,ELOVL1
SBF2-AS1 ,ADCY9
SBF2-AS1 ,SLCO4A1
SBF2-AS1 ,SWAP70
SBF2-AS1 ,MCM4
SBF2-AS1 ,GTF3C2
SBF2-AS1 ,PPP2R5A
SBF2-AS1 ,GINS2
SBF2-AS1 ,DCAF11
SBF2-AS1 ,IGFBP1
SBF2-AS1 ,GPSM1
SBF2-AS1 ,FANCL
SBF2-AS1 ,DPYSL3
SBF2-AS1 ,FOXO1
SBF2-AS1 ,GBP3
SBF2-AS1 ,C19orf66
SBF2-AS1 ,NMT1
SBF2-AS1 ,AGR2
SBF2-AS1 ,TMCC2
SBF2-AS1 ,KIAA1191
SBF2-AS1 ,SSR1
SBF2-AS1 ,FOXL2
SBF2-AS1 ,BAIAP2
SBF2-AS1 ,PLD6
SBF2-AS1 ,KLF2
SBF2-AS1 ,HAS3
SBF2-AS1 ,EFNB1
SBF2-AS1 ,ANGPTL4
SBF2-AS1 ,EXO1
SBF2-AS1 ,DBN1
SBF2-AS1 ,LY6G5B
SBF2-AS1 ,RBCK1
SBF2-AS1 ,LOX
SBF2-AS1 ,ATP6V1D
SBF2-AS1 ,SRRM3
SBF2-AS1 ,KCNMA1
SBF2-AS1 ,UTP20
SBF2-AS1 ,OASL
SBF2-AS1 ,SRP19
SBF2-AS1 ,MOSMO
SBF2-AS1 ,LOC102725138
SBF2-AS1 ,KCNJ11
SBF2-AS1 ,BCORL1
SBF2-AS1 ,NDRG1
SBF2-AS1 ,DNAJC14
SBF2-AS1 ,PPARA
SBF2-AS1 ,HIF1A
SBF2-AS1 ,NAA50
SBF2-AS1 ,KLHL36
SBF2-AS1 ,ICAM1
SBF2-AS1 ,RAE1
SBF2-AS1 ,GRID1
SBF2-AS1 ,ENO2
SBF2-AS1 ,SPHK1
SBF2-AS1 ,EVI5L
SBF2-AS1 ,PMF1
SBF2-AS1 ,GINS1
SBF2-AS1 ,TFAM
SBF2-AS1 ,RBM15B
SBF2-AS1 ,NCAPH
SBF2-AS1 ,LIG1
SBF2-AS1 ,NUP85
SBF2-AS1 ,APOL1
SBF2-AS1 ,COX8A
SBF2-AS1 ,TRIM25
SBF2-AS1 ,SPAG5
SBF2-AS1 ,SLC9A3
SBF2-AS1 ,NARS
SBF2-AS1 ,VPS9D1
SBF2-AS1 ,UAP1L1
SBF2-AS1 ,PAPPA
SBF2-AS1 ,DUSP1
SBF2-AS1 ,HILPDA
SBF2-AS1 ,CHAC2
SBF2-AS1 ,C12orf66
SBF2-AS1 ,GLIPR1
SBF2-AS1 ,PKD1L2
SBF2-AS1 ,CIB4
SBF2-AS1 ,RRM2
SBF2-AS1 ,ISOC1
SBF2-AS1 ,CXCL5
SBF2-AS1 ,SCAMP3
SBF2-AS1 ,SHMT1
SBF2-AS1 ,ZDHHC9
SBF2-AS1 ,QRSL1
SBF2-AS1 ,FGFR2
SBF2-AS1 ,SHISA5
SBF2-AS1 ,RASSF2
SBF2-AS1 ,MXI1
SBF2-AS1 ,GLIS3
SBF2-AS1 ,TCERG1
SBF2-AS1 ,CPEB4
SBF2-AS1 ,RTN2
SBF2-AS1 ,DNAJA3
SBF2-AS1 ,DKK1
SBF2-AS1 ,CYP26B1
SBF2-AS1 ,UBE2C
SBF2-AS1 ,POLR1E
SBF2-AS1 ,PTPRA
SBF2-AS1 ,POLD3
SBF2-AS1 ,FKBP5
SBF2-AS1 ,ACSL1
SBF2-AS1 ,SYVN1
SBF2-AS1 ,DDX21
SBF2-AS1 ,TBX18
SBF2-AS1 ,HSPA1B
SBF2-AS1 ,EFR3B
SBF2-AS1 ,MED20
SBF2-AS1 ,KRT18
SBF2-AS1 ,SLC35A5
SBF2-AS1 ,KDELR1
SBF2-AS1 ,M6PR
SBF2-AS1 ,CIB1
SBF2-AS1 ,IFI35
SBF2-AS1 ,ACSL4
SBF2-AS1 ,LOXL2
SBF2-AS1 ,KIF2C
SBF2-AS1 ,UCP3
SBF2-AS1 ,TARSL2
SBF2-AS1 ,ANKRD33B
SBF2-AS1 ,NAF1
SBF2-AS1 ,ZNF749
SBF2-AS1 ,CYTH1
SBF2-AS1 ,CEP170
SBF2-AS1 ,CEP170P1
SBF2-AS1 ,CRMP1
SBF2-AS1 ,OARD1
SBF2-AS1 ,UBE2E3
SBF2-AS1 ,SURF4
SBF2-AS1 ,DDX60
SBF2-AS1 ,VCL
SBF2-AS1 ,KIF3C
SBF2-AS1 ,HELLS
SBF2-AS1 ,ZNF337
SBF2-AS1 ,PPAT
SBF2-AS1 ,OR51B5
SBF2-AS1 ,CA12
SBF2-AS1 ,SRR
SBF2-AS1 ,NUCB1
SBF2-AS1 ,CFB
SBF2-AS1 ,EZH2
SBF2-AS1 ,NDUFS4
SBF2-AS1 ,BTD
SBF2-AS1 ,ZNFX1
SBF2-AS1 ,HSPA1A
SBF2-AS1 ,TPM1
SBF2-AS1 ,RTTN
SBF2-AS1 ,ACP2
SBF2-AS1 ,IGDCC4
SBF2-AS1 ,TMEM199
SBF2-AS1 ,KIF23
SBF2-AS1 ,RRAGA
SBF2-AS1 ,MYBL2
SBF2-AS1 ,DBF4B
SBF2-AS1 ,CPSF3
SBF2-AS1 ,SP110
SBF2-AS1 ,MICU2
SBF2-AS1 ,CCNG1
SBF2-AS1 ,GET4
SBF2-AS1 ,AGAP1
SBF2-AS1 ,GM2A
SBF2-AS1 ,RBFOX2
SBF2-AS1 ,PLXNA3
SBF2-AS1 ,LPIN3
SBF2-AS1 ,HMMR
SBF2-AS1 ,ATL2
SBF2-AS1 ,HMGXB3
SBF2-AS1 ,LUCAT1
SBF2-AS1 ,CANT1
SBF2-AS1 ,SIRT7
SBF2-AS1 ,CDC42BPA
SBF2-AS1 ,CAPN10
SBF2-AS1 ,PGK1
SBF2-AS1 ,DARS2
SBF2-AS1 ,CENPO
SBF2-AS1 ,PNPLA6
SBF2-AS1 ,P4HA1
SBF2-AS1 ,METRNL
SBF2-AS1 ,ALDOC
SBF2-AS1 ,INSIG1
SBF2-AS1 ,ZNF467
SBF2-AS1 ,NUSAP1
SBF2-AS1 ,NCKAP1
SBF2-AS1 ,LRWD1
SBF2-AS1 ,PCNA
SBF2-AS1 ,ZCCHC7
SBF2-AS1 ,TPST2
SBF2-AS1 ,PASK
SBF2-AS1 ,SCARF2
SBF2-AS1 ,SSRP1
SBF2-AS1 ,SNRNP25
SBF2-AS1 ,FADS2
SBF2-AS1 ,TUBB
SBF2-AS1 ,BRPF3
SBF2-AS1 ,MTMR3
SBF2-AS1 ,ZMYND8
SBF2-AS1 ,ZDHHC18
SBF2-AS1 ,KLHL17
SBF2-AS1 ,TK1
SBF2-AS1 ,TRMT6
SBF2-AS1 ,ADNP
SBF2-AS1 ,ABHD2
SBF2-AS1 ,NID1
SBF2-AS1 ,SNX29
SBF2-AS1 ,CDC27
SBF2-AS1 ,KRBA1
SBF2-AS1 ,KIF20A
SBF2-AS1 ,POLQ
SBF2-AS1 ,LGI4
SBF2-AS1 ,TACC3
SBF2-AS1 ,OBSCN
SBF2-AS1 ,HSPA2
SBF2-AS1 ,EGFR
SBF2-AS1 ,NUP35
SBF2-AS1 ,TLDC1
SBF2-AS1 ,SPRED3
SBF2-AS1 ,ALDH1A3
SBF2-AS1 ,CENPF
SBF2-AS1 ,DHCR24
SBF2-AS1 ,PQLC2
SBF2-AS1 ,BCL10
SBF2-AS1 ,CCT5
SBF2-AS1 ,SMC4
SBF2-AS1 ,CTTN
SBF2-AS1 ,HIRIP3
SBF2-AS1 ,NUP88
SBF2-AS1 ,MRPL32
SBF2-AS1 ,SLC2A1
SBF2-AS1 ,DRAM1
SBF2-AS1 ,GREB1
SBF2-AS1 ,IFI44L
SBF2-AS1 ,XRN2
SBF2-AS1 ,ID2
SBF2-AS1 ,SENP1
SBF2-AS1 ,USP25
SBF2-AS1 ,TMEM246
SBF2-AS1 ,NCAPD2
SBF2-AS1 ,COTL1
SBF2-AS1 ,TGFBI
SBF2-AS1 ,NECAP1
SBF2-AS1 ,NDST2
SBF2-AS1 ,CTSB
SBF2-AS1 ,TUBA4A
SBF2-AS1 ,NPTXR
SBF2-AS1 ,CC2D1A
SBF2-AS1 ,RAD1
SBF2-AS1 ,G2E3
SBF2-AS1 ,CEBPG
SBF2-AS1 ,DBI
SBF2-AS1 ,PHF20L1
SBF2-AS1 ,UBQLN4
SBF2-AS1 ,SIGIRR
SBF2-AS1 ,FHOD3
SBF2-AS1 ,RALGDS
SBF2-AS1 ,IFFO2
SBF2-AS1 ,MAPK8IP3
SBF2-AS1 ,CPAMD8
SBF2-AS1 ,NQO1
SBF2-AS1 ,CLDN12
SBF2-AS1 ,HNRNPLL
SBF2-AS1 ,DNAH17
SBF2-AS1 ,DNMT1
SBF2-AS1 ,ORC6
SBF2-AS1 ,ABCC5
SBF2-AS1 ,ECT2
SBF2-AS1 ,MUC13
SBF2-AS1 ,CDC20
SBF2-AS1 ,NEDD4
SBF2-AS1 ,GRB10
SBF2-AS1 ,HLA-C
SBF2-AS1 ,CEP250
SBF2-AS1 ,RAB3A
SBF2-AS1 ,PDE7B
SBF2-AS1 ,HMOX1
SBF2-AS1 ,CTSD
SBF2-AS1 ,FBXL2
SBF2-AS1 ,HLA-B
SBF2-AS1 ,TRIM22
SBF2-AS1 ,CDC6
SBF2-AS1 ,PSMG3-AS1
SBF2-AS1 ,PTPRN2
SBF2-AS1 ,ZNF180
SBF2-AS1 ,TERF2
SBF2-AS1 ,MICAL2
SBF2-AS1 ,SLC12A2
SBF2-AS1 ,NCAPD3
SBF2-AS1 ,DENND3
SBF2-AS1 ,CHPF
SBF2-AS1 ,KIAA1217
SBF2-AS1 ,PPA2
SBF2-AS1 ,E2F1
SBF2-AS1 ,HPS1
SBF2-AS1 ,PADI2
SBF2-AS1 ,TMC6
SBF2-AS1 ,TLK1
SBF2-AS1 ,ITPR3
SBF2-AS1 ,ATAD5
SBF2-AS1 ,FGB
SBF2-AS1 ,CNDP2
SBF2-AS1 ,ITGB3
SBF2-AS1 ,LGALS3BP
SBF2-AS1 ,FOSL2
SBF2-AS1 ,C6orf120
SBF2-AS1 ,SMC3
SBF2-AS1 ,NAV1
SBF2-AS1 ,ARRB1
SBF2-AS1 ,MICAL1
SBF2-AS1 ,PRKAG2
SBF2-AS1 ,PTAFR
SBF2-AS1 ,TACC2
SBF2-AS1 ,DHRS1
SBF2-AS1 ,FRMD3
SBF2-AS1 ,PRDM10
SBF2-AS1 ,SERPINE2
SBF2-AS1 ,DDX60L
SBF2-AS1 ,SIDT2
SBF2-AS1 ,NCL
SBF2-AS1 ,PIAS4
SBF2-AS1 ,ATAD2
SBF2-AS1 ,DCP1A
SBF2-AS1 ,VWA3A
SBF2-AS1 ,LOC101930115
SBF2-AS1 ,RRM1
SBF2-AS1 ,TJP1
SBF2-AS1 ,SMG6
SBF2-AS1 ,MIS18BP1
SBF2-AS1 ,DIAPH3
SBF2-AS1 ,MEX3B
SBF2-AS1 ,METAP1
SBF2-AS1 ,AP1AR
SBF2-AS1 ,MTHFD1
SBF2-AS1 ,DNMBP
SBF2-AS1 ,XRCC3
SBF2-AS1 ,UBE2K
SBF2-AS1 ,C19orf48
SBF2-AS1 ,LATS2
SBF2-AS1 ,GSN
SBF2-AS1 ,TTC31
SBF2-AS1 ,FADS3
SBF2-AS1 ,NDC1
SBF2-AS1 ,VCAN
SBF2-AS1 ,RPRD2
SBF2-AS1 ,CDA
SBF2-AS1 ,SLC25A37
SBF2-AS1 ,BANF1
SBF2-AS1 ,TANC2
SBF2-AS1 ,TNFSF12
SBF2-AS1 ,SCARB1
SBF2-AS1 ,PITPNB
SBF2-AS1 ,ITGAV
SBF2-AS1 ,PML
SBF2-AS1 ,ARL8A
SBF2-AS1 ,DEK
SBF2-AS1 ,KAT7
SBF2-AS1 ,SAMD9
SBF2-AS1 ,PADI3
SBF2-AS1 ,ELOVL2
SBF2-AS1 ,LIG3
SBF2-AS1 ,PACRGL
SBF2-AS1 ,CLN6
SBF2-AS1 ,STXBP1
SBF2-AS1 ,RAI14
SBF2-AS1 ,IFI6
SBF2-AS1 ,ATF6
SBF2-AS1 ,ARHGAP10
SBF2-AS1 ,RNF19A
SBF2-AS1 ,LMNA
SBF2-AS1 ,RNF13
SBF2-AS1 ,CCNO
SBF2-AS1 ,TMUB2
SBF2-AS1 ,KIF11
SBF2-AS1 ,AKR1B10
SBF2-AS1 ,CERS4
SBF2-AS1 ,SLC47A1
SBF2-AS1 ,SLC6A12
SBF2-AS1 ,R3HDM1
SBF2-AS1 ,TCP1
SBF2-AS1 ,SUSD2
SBF2-AS1 ,CYLD
SBF2-AS1 ,MYEF2
SBF2-AS1 ,SLC35F3
SBF2-AS1 ,CENPI
SBF2-AS1 ,ME2
SBF2-AS1 ,PIK3CB
SBF2-AS1 ,NPY4R
SBF2-AS1 ,MCM7
SBF2-AS1 ,FBXO25
SBF2-AS1 ,GTSE1
SBF2-AS1 ,IMP3
SBF2-AS1 ,ANPEP
SBF2-AS1 ,CPLX2
SBF2-AS1 ,RAD23B
SBF2-AS1 ,BAIAP3
SBF2-AS1 ,MDH1
SBF2-AS1 ,WSCD1
SBF2-AS1 ,LOC339166
SBF2-AS1 ,RCL1
SBF2-AS1 ,ADORA2A
SBF2-AS1 ,ABTB2
SBF2-AS1 ,HNRNPH3
SBF2-AS1 ,PAQR6
SBF2-AS1 ,HYOU1
SBF2-AS1 ,GAB2
SBF2-AS1 ,DOCK5
SBF2-AS1 ,SPTAN1
SBF2-AS1 ,NSFL1C
SBF2-AS1 ,ETS1
SBF2-AS1 ,CSE1L
SBF2-AS1 ,AMIGO2
SBF2-AS1 ,GJA1
SBF2-AS1 ,CFL1
SBF2-AS1 ,U2SURP
SBF2-AS1 ,TBC1D15
SBF2-AS1 ,GALNT6
SBF2-AS1 ,GLIS2
SBF2-AS1 ,ITIH2
SBF2-AS1 ,BRD9
SBF2-AS1 ,RPS6
SBF2-AS1 ,GAK
SBF2-AS1 ,TNRC6A
SBF2-AS1 ,TMEM173
SBF2-AS1 ,NCOA7
SBF2-AS1 ,GALNT18
SBF2-AS1 ,AURKA
SBF2-AS1 ,PLK4
SBF2-AS1 ,CCDC138
SBF2-AS1 ,ABCF2
SBF2-AS1 ,TMEM106B
SBF2-AS1 ,CHML
SBF2-AS1 ,WDR12
SBF2-AS1 ,HR
SBF2-AS1 ,ARHGEF17
SBF2-AS1 ,DOCK3
SBF2-AS1 ,AHDC1
SBF2-AS1 ,MT1X
SBF2-AS1 ,MAML2
SBF2-AS1 ,CRCP
SBF2-AS1 ,C1S
SBF2-AS1 ,TAP1
SBF2-AS1 ,PRR11
SBF2-AS1 ,ENOX2
SBF2-AS1 ,TMED5
SBF2-AS1 ,ST13
SBF2-AS1 ,GPATCH8
SBF2-AS1 ,MOGS
SBF2-AS1 ,KMT2C
SBF2-AS1 ,EIF4EBP2
SBF2-AS1 ,TSPAN18
SBF2-AS1 ,PLIN2
SBF2-AS1 ,CDH4
SBF2-AS1 ,WISP2
SBF2-AS1 ,KLF9
SBF2-AS1 ,STYK1
SBF2-AS1 ,OTUD5
SBF2-AS1 ,SLC2A3
SBF2-AS1 ,MMP24
SBF2-AS1 ,TMEM158
SBF2-AS1 ,PRMT5
SBF2-AS1 ,NID2
SBF2-AS1 ,EPHB2
SBF2-AS1 ,CCNB1IP1
SBF2-AS1 ,MLLT3
SBF2-AS1 ,RPS6KA1
SBF2-AS1 ,GGTLC2
SBF2-AS1 ,C4orf46
SBF2-AS1 ,SLC16A6
SBF2-AS1 ,IFI44
SBF2-AS1 ,CUL7
SBF2-AS1 ,KIF12
SBF2-AS1 ,NBN
SBF2-AS1 ,CMSS1
SBF2-AS1 ,TRAM2
SBF2-AS1 ,DKK3
SBF2-AS1 ,SRSF3
SBF2-AS1 ,EPC2
SBF2-AS1 ,ZC3H14
SBF2-AS1 ,IFI27L2
SBF2-AS1 ,CTSA
SBF2-AS1 ,ZFHX2
SBF2-AS1 ,CDCP1
SBF2-AS1 ,CENPN
SBF2-AS1 ,BPGM
SBF2-AS1 ,NUP107
SBF2-AS1 ,USP16
SBF2-AS1 ,HSH2D
SBF2-AS1 ,B3GNT4
SBF2-AS1 ,BUB3
SBF2-AS1 ,HUWE1
SBF2-AS1 ,TNFAIP1
SBF2-AS1 ,CDC37L1
SBF2-AS1 ,FANCM
SBF2-AS1 ,PTBP1
SBF2-AS1 ,CAPN2
SBF2-AS1 ,APOL2
SBF2-AS1 ,MCM8
SBF2-AS1 ,CTSV
SBF2-AS1 ,DZIP3
SBF2-AS1 ,ZBTB5
SBF2-AS1 ,GXYLT1
SBF2-AS1 ,CRELD1
SBF2-AS1 ,LAMB3
SBF2-AS1 ,EXT1
SBF2-AS1 ,PARP14
SBF2-AS1 ,TEKT3
SBF2-AS1 ,FNDC7
SBF2-AS1 ,BAHCC1
SBF2-AS1 ,RFC4
SBF2-AS1 ,TROAP
SBF2-AS1 ,GART
SBF2-AS1 ,EARS2
SBF2-AS1 ,GABRA3
SBF2-AS1 ,MIR1244-1
SBF2-AS1 ,PLA2G4A
SBF2-AS1 ,NLN
SBF2-AS1 ,LTV1
SBF2-AS1 ,RBM39
SBF2-AS1 ,TSFM
SBF2-AS1 ,IWS1
SBF2-AS1 ,RNMT
SBF2-AS1 ,ASB1
SBF2-AS1 ,PPL
SBF2-AS1 ,VEGFA
SBF2-AS1 ,FA2H
SBF2-AS1 ,HEATR5B
SBF2-AS1 ,TSC2
SBF2-AS1 ,HNRNPA2B1
SBF2-AS1 ,TNXB
SBF2-AS1 ,CAND1
SBF2-AS1 ,AKAP13
SBF2-AS1 ,HSPG2
SBF2-AS1 ,CD68
SBF2-AS1 ,CRTC2
SBF2-AS1 ,KIAA0556
SBF2-AS1 ,STOM
SBF2-AS1 ,ADAMTS9
SBF2-AS1 ,ATP2B4
SBF2-AS1 ,FLNB
SBF2-AS1 ,ARL6IP6
SBF2-AS1 ,VAV3
SBF2-AS1 ,CREB3L3
SBF2-AS1 ,BTN3A1
SBF2-AS1 ,CENPE
SBF2-AS1 ,GAA
SBF2-AS1 ,HERC2
SBF2-AS1 ,PRKCG
SBF2-AS1 ,CRIM1
SBF2-AS1 ,EFHB
SBF2-AS1 ,PARD3
SBF2-AS1 ,AKAP10
SBF2-AS1 ,CNOT2
SBF2-AS1 ,AMPD3
SBF2-AS1 ,ALDH2
SBF2-AS1 ,BICD2
SBF2-AS1 ,KIF1A
SBF2-AS1 ,BZW2
SBF2-AS1 ,CPS1
SBF2-AS1 ,RAB5B
SBF2-AS1 ,PARP9
SBF2-AS1 ,ATP1B3
SBF2-AS1 ,ESYT1
SBF2-AS1 ,HSF1
SBF2-AS1 ,PFKFB3
SBF2-AS1 ,CSRNP1
SBF2-AS1 ,ACER2
SBF2-AS1 ,BAZ2B
SBF2-AS1 ,LIPA
SBF2-AS1 ,NAB1
SBF2-AS1 ,H2AFJ
SBF2-AS1 ,GEMIN5
SBF2-AS1 ,HEXIM1
SBF2-AS1 ,HSP90AB1
SBF2-AS1 ,NAA15
SBF2-AS1 ,COPA
SBF2-AS1 ,NIPAL4
SBF2-AS1 ,COL7A1
SBF2-AS1 ,ETV1
SBF2-AS1 ,PFAS
SBF2-AS1 ,SNX9
SBF2-AS1 ,PLAU
SBF2-AS1 ,ARHGAP26
SBF2-AS1 ,PDE9A
SBF2-AS1 ,NLGN2
SBF2-AS1 ,DUSP5
SBF2-AS1 ,MED13L
SBF2-AS1 ,FRAS1
SBF2-AS1 ,RNF19B
SBF2-AS1 ,LNPEP
SBF2-AS1 ,GBF1
SBF2-AS1 ,SMC1A
SBF2-AS1 ,CCDC25
SBF2-AS1 ,WIPF1
SBF2-AS1 ,SYNPO2
SBF2-AS1 ,TBC1D5
SBF2-AS1 ,TAF4B
SBF2-AS1 ,HMGB2
SBF2-AS1 ,TSC22D1
SBF2-AS1 ,RECK
SBF2-AS1 ,ZNF587
SBF2-AS1 ,PSMC3
SBF2-AS1 ,STT3B
SBF2-AS1 ,AP1G2
SBF2-AS1 ,PDXP
SBF2-AS1 ,TBC1D17
SBF2-AS1 ,RAD21
SBF2-AS1 ,INSL4
SBF2-AS1 ,ABHD10
SBF2-AS1 ,AKR1C3
SBF2-AS1 ,PARPBP
SBF2-AS1 ,RCCD1
SBF2-AS1 ,F3
SBF2-AS1 ,ANXA1
SBF2-AS1 ,FADS1
SBF2-AS1 ,PLAT
SBF2-AS1 ,IFRD2
SBF2-AS1 ,RBBP6
SBF2-AS1 ,DIDO1
SBF2-AS1 ,CLMP
SBF2-AS1 ,SPDEF
SBF2-AS1 ,SORD
SBF2-AS1 ,ATP5MPL
SBF2-AS1 ,ATP2A3
SBF2-AS1 ,SLC30A5
SBF2-AS1 ,GINS4
SBF2-AS1 ,TATDN3
SBF2-AS1 ,ASCC1
SBF2-AS1 ,CHSY1
SBF2-AS1 ,SMAD3
SBF2-AS1 ,NAPA
SBF2-AS1 ,CPPED1
SBF2-AS1 ,FRMD6
SBF2-AS1 ,MGAT5
SBF2-AS1 ,CABLES2
SBF2-AS1 ,AXL
SBF2-AS1 ,ATP2B1
SBF2-AS1 ,HCN2
SBF2-AS1 ,SUPT16H
SBF2-AS1 ,MEIS3
SBF2-AS1 ,RAB6B
SBF2-AS1 ,ODC1
SBF2-AS1 ,FNBP1
SBF2-AS1 ,RBL1
SBF2-AS1 ,XPC
SBF2-AS1 ,ACTN1
SBF2-AS1 ,RSRC2
SBF2-AS1 ,RFX3
SBF2-AS1 ,CERS5
SBF2-AS1 ,ADAP2
SBF2-AS1 ,POLE2
SBF2-AS1 ,SDCCAG8
SBF2-AS1 ,UHRF1BP1
SBF2-AS1 ,CNTRL
SBF2-AS1 ,SOCS3
SBF2-AS1 ,ABCA2
SBF2-AS1 ,FAM160B2
SBF2-AS1 ,RCHY1
SBF2-AS1 ,CASC3
SBF2-AS1 ,PMF1-BGLAP
SBF2-AS1 ,MCMBP
SBF2-AS1 ,SATB1
SBF2-AS1 ,ALG9
SBF2-AS1 ,GNPTG
SBF2-AS1 ,SQSTM1
SBF2-AS1 ,ZNF574
SBF2-AS1 ,LENG8
SBF2-AS1 ,KLF7
SBF2-AS1 ,SLC26A6
SBF2-AS1 ,TOPBP1
SBF2-AS1 ,IL6
SBF2-AS1 ,P4HA2
SBF2-AS1 ,PHF1
SBF2-AS1 ,STK38L
SBF2-AS1 ,TACO1
SBF2-AS1 ,EMP1
SBF2-AS1 ,SIRT1
SBF2-AS1 ,SPDL1
