lncRNA,mRNA
MALAT1 ,FANCG
MALAT1 ,FARSA
MALAT1 ,FASN
MALAT1 ,FBN2
MALAT1 ,FKTN
MALAT1 ,FEN1
MALAT1 ,FGF1
MALAT1 ,FGF2
MALAT1 ,FGF9
MALAT1 ,FHL1
MALAT1 ,FHL3
MALAT1 ,VEGFD
MALAT1 ,FKBP1A
MALAT1 ,FKBP1B
MALAT1 ,FKBP4
MALAT1 ,FOXD4
MALAT1 ,FOXM1
MALAT1 ,FLII
MALAT1 ,FLNA
MALAT1 ,FLT3LG
MALAT1 ,FMR1
MALAT1 ,FNTA
MALAT1 ,FNTB
MALAT1 ,FOLR3
MALAT1 ,FPGS
MALAT1 ,CENPI
MALAT1 ,FTH1
MALAT1 ,FTH1
MALAT1 ,FTL
MALAT1 ,FTL
MALAT1 ,KDSR
MALAT1 ,FZD2
MALAT1 ,G6PD
MALAT1 ,GAA
MALAT1 ,B4GALNT1
MALAT1 ,GALK2
MALAT1 ,GALNT2
MALAT1 ,GALT
MALAT1 ,GANC
MALAT1 ,GAS6
MALAT1 ,GBA
MALAT1 ,GBA
MALAT1 ,GBP2
MALAT1 ,GCDH
MALAT1 ,KAT2A
MALAT1 ,GDF9
MALAT1 ,GEM
MALAT1 ,GFPT1
MALAT1 ,GFRA1
MALAT1 ,GGT7
MALAT1 ,GK
MALAT1 ,GCLC
MALAT1 ,GLE1
MALAT1 ,GLO1
MALAT1 ,GM2A
MALAT1 ,GMDS
MALAT1 ,GNA15
MALAT1 ,GNAI1
MALAT1 ,GNB2
MALAT1 ,GNG10
MALAT1 ,GNG11
MALAT1 ,GOLGA1
MALAT1 ,GOLGA4
MALAT1 ,GOLGB1
MALAT1 ,GP5
MALAT1 ,MLNR
MALAT1 ,GPR39
MALAT1 ,GPS1
MALAT1 ,GRB10
MALAT1 ,GRIK2
MALAT1 ,GRIK4
MALAT1 ,NR3C1
MALAT1 ,GRPR
MALAT1 ,GSN
MALAT1 ,GTF2A1
MALAT1 ,GTF2F1
MALAT1 ,GTF2H1
MALAT1 ,GYPE
MALAT1 ,GYS1
MALAT1 ,HIST1H1D
MALAT1 ,HIST1H1E
MALAT1 ,HIST1H1B
MALAT1 ,HIST1H2AE
MALAT1 ,HIST1H2AD
MALAT1 ,H2AFX
MALAT1 ,HBE1
MALAT1 ,HBG1
MALAT1 ,HDAC2
MALAT1 ,HELLS
MALAT1 ,HEXA
MALAT1 ,HEXB
MALAT1 ,CFH
MALAT1 ,HGF
MALAT1 ,NRG1
MALAT1 ,HHEX
MALAT1 ,HIVEP2
MALAT1 ,HMMR
MALAT1 ,HMOX1
MALAT1 ,NR4A1
MALAT1 ,HNRNPAB
MALAT1 ,HNRNPL
MALAT1 ,HOXA1
MALAT1 ,HPS1
MALAT1 ,AGFG2
MALAT1 ,PRMT2
MALAT1 ,PRMT1
MALAT1 ,HSD17B2
MALAT1 ,HSD17B4
MALAT1 ,HSPA1A
MALAT1 ,HSPA1A
MALAT1 ,HSPA1B
MALAT1 ,HSPA4
MALAT1 ,HSPA9
MALAT1 ,HSP90AA1
MALAT1 ,HSPE1
MALAT1 ,DNAJB1
MALAT1 ,HSPG2
MALAT1 ,FOXN2
MALAT1 ,HTR1B
MALAT1 ,HTR2B
MALAT1 ,HTR7
MALAT1 ,TNC
MALAT1 ,ICAM3
MALAT1 ,ID1
MALAT1 ,ID2
MALAT1 ,ID3
MALAT1 ,IDH1
MALAT1 ,IDH2
MALAT1 ,IFIT2
MALAT1 ,IFNAR1
MALAT1 ,IFNGR1
MALAT1 ,IFRD1
MALAT1 ,IGFBP5
MALAT1 ,IKBKB
MALAT1 ,IL1B
MALAT1 ,IL4R
MALAT1 ,IL6
MALAT1 ,IL7R
MALAT1 ,CXCL8
MALAT1 ,IL11
MALAT1 ,IL11RA
MALAT1 ,IL13RA2
MALAT1 ,IL18
MALAT1 ,ILK
MALAT1 ,IMPA1
MALAT1 ,IMPA2
MALAT1 ,INCENP
MALAT1 ,INHBA
MALAT1 ,IRF3
MALAT1 ,ISG20
MALAT1 ,ITGA4
MALAT1 ,ITGA9
MALAT1 ,ITGB3
MALAT1 ,ITGB6
MALAT1 ,ITGB8
MALAT1 ,ITPR2
MALAT1 ,IVD
MALAT1 ,KCND2
MALAT1 ,KCNG1
MALAT1 ,KCNJ2
MALAT1 ,KCNMA1
MALAT1 ,KIF2A
MALAT1 ,KIT
MALAT1 ,KIF11
